"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
381,5029,123693,180436.900799549,-11.2833368064324,31.4480577687303,533
382,5061,135009,176653.784505381,-8.2285683669988,23.5742385151745,523
383,5075,128054,165516.301081775,-7.38173420330535,22.6336021509242,444
384,5070,130870,158999.619651952,-5.54824845206158,17.6916270073649,486
385,4937,139549,180269.305163045,-8.24798565182194,22.5885960597759,396
386,5033,111389,144758.413205212,-6.63012382380522,23.0517953784881,385
387,4948,131882,155359.015981552,-4.74474858155864,15.1114602736283,438
388,4999,119013,158718.076126591,-7.94260374606742,25.0161021955199,375
389,4959,125494,88956.6954197155,7.36787751165245,-41.0731361005422,769
390,5125,167516,185796.141935292,-3.56685696298375,9.83881675091955,377
391,5170,131385,100006.672569275,6.06930898079781,-31.3762338297864,280
392,5005,118022,136998.064642804,-3.79142150705371,13.8513377486611,404
393,5049,126039,150433.493346698,-4.83154948439251,16.2161316632306,366
394,5130,118465,138986.222566754,-4.00023831710607,14.7649329464278,426
395,4920,114846,145396.032385376,-6.20935617588947,21.0115997556264,335
396,5054,147700,174234.781033893,-5.25025346931005,15.2293249811766,326
397,5059,117329,148390.263300812,-6.13980298494015,20.9321438010025,433
398,4924,123013,141536.002028971,-3.76177945348714,13.087131022098,400
399,5038,127890,162326.858576733,-6.8354225043138,21.2145167341204,470
400,5019,161619,180637.155675849,-3.78923205336701,10.528374190068,327
401,4901,131026,162803.250693547,-6.48382997215809,19.5188060178005,320
402,5043,118012,145116.907593791,-5.37475859484251,18.6779804250394,384
403,4992,115977,158206.828503817,-8.45950090220684,26.6927975885679,452
404,4961,124421,128392.934662443,-0.800631861004427,3.09357728514077,549
